Avvio ascensore: Tue Feb  7 16:33:56 2017
[SCESO] Bambino al piano 0, tempo dall'avvio 186, Tue Feb  7 16:37:02 2017

[SALITO] Bambino al piano 0, destinazione 3, tempo dall'avvio 186, Tue Feb  7 16:37:02 2017

[SALITO] Adulto al piano 0, destinazione 2, tempo dall'avvio 186, Tue Feb  7 16:37:02 2017

[SCESO] Bambino al piano 2, tempo dall'avvio 198, Tue Feb  7 16:37:14 2017

[SCESO] Adulto al piano 2, tempo dall'avvio 198, Tue Feb  7 16:37:14 2017

[SALITO] Bambino al piano 2, destinazione 0, tempo dall'avvio 198, Tue Feb  7 16:37:14 2017

[SALITO] Adulto al piano 2, destinazione 3, tempo dall'avvio 198, Tue Feb  7 16:37:14 2017

[SCESO] Adulto al piano 3, tempo dall'avvio 204, Tue Feb  7 16:37:20 2017

[SCESO] Bambino al piano 3, tempo dall'avvio 204, Tue Feb  7 16:37:20 2017

[SCESO] Adulto al piano 3, tempo dall'avvio 204, Tue Feb  7 16:37:20 2017

[SALITO] Bambino al piano 3, destinazione 2, tempo dall'avvio 204, Tue Feb  7 16:37:20 2017

[SALITO] Addetto alla consegna al piano 3, destinazione 0, tempo dall'avvio 204, Tue Feb  7 16:37:20 2017

[SALITO] Bambino al piano 3, destinazione 2, tempo dall'avvio 204, Tue Feb  7 16:37:20 2017

[SALITO] Adulto al piano 3, destinazione 1, tempo dall'avvio 204, Tue Feb  7 16:37:20 2017

[SCESO] Bambino al piano 2, tempo dall'avvio 210, Tue Feb  7 16:37:26 2017

[SCESO] Bambino al piano 2, tempo dall'avvio 210, Tue Feb  7 16:37:26 2017

[SALITO] Adulto al piano 2, destinazione 3, tempo dall'avvio 210, Tue Feb  7 16:37:26 2017

[SCESO] Adulto al piano 1, tempo dall'avvio 216, Tue Feb  7 16:37:32 2017

[SALITO] Adulto al piano 1, destinazione 3, tempo dall'avvio 216, Tue Feb  7 16:37:32 2017

[SCESO] Bambino al piano 0, tempo dall'avvio 222, Tue Feb  7 16:37:38 2017

[SCESO] Addetto alla consegna al piano 0, tempo dall'avvio 222, Tue Feb  7 16:37:38 2017

[SALITO] Adulto al piano 0, destinazione 1, tempo dall'avvio 222, Tue Feb  7 16:37:38 2017

[SCESO] Adulto al piano 1, tempo dall'avvio 228, Tue Feb  7 16:37:44 2017

[SALITO] Adulto al piano 1, destinazione 3, tempo dall'avvio 228, Tue Feb  7 16:37:44 2017

[SALITO] Bambino al piano 2, destinazione 1, tempo dall'avvio 234, Tue Feb  7 16:37:50 2017

[SCESO] Adulto al piano 3, tempo dall'avvio 240, Tue Feb  7 16:37:56 2017

[SCESO] Adulto al piano 3, tempo dall'avvio 240, Tue Feb  7 16:37:56 2017

[SCESO] Adulto al piano 3, tempo dall'avvio 240, Tue Feb  7 16:37:56 2017

[SALITO] Addetto alla consegna al piano 3, destinazione 0, tempo dall'avvio 240, Tue Feb  7 16:37:56 2017

[SALITO] Bambino al piano 3, destinazione 0, tempo dall'avvio 240, Tue Feb  7 16:37:56 2017

[SALITO] Adulto al piano 3, destinazione 2, tempo dall'avvio 240, Tue Feb  7 16:37:56 2017

[SALITO] Bambino al piano 3, destinazione 1, tempo dall'avvio 240, Tue Feb  7 16:37:56 2017

[SCESO] Adulto al piano 2, tempo dall'avvio 246, Tue Feb  7 16:38:02 2017

[SALITO] Addetto alla consegna al piano 2, destinazione 1, tempo dall'avvio 246, Tue Feb  7 16:38:02 2017

[SCESO] Bambino al piano 1, tempo dall'avvio 252, Tue Feb  7 16:38:08 2017

[SCESO] Bambino al piano 1, tempo dall'avvio 252, Tue Feb  7 16:38:08 2017

[SCESO] Addetto alla consegna al piano 1, tempo dall'avvio 252, Tue Feb  7 16:38:08 2017

[SALITO] Addetto alla consegna al piano 1, destinazione 2, tempo dall'avvio 252, Tue Feb  7 16:38:08 2017

[SALITO] Adulto al piano 1, destinazione 2, tempo dall'avvio 252, Tue Feb  7 16:38:08 2017

[SCESO] Addetto alla consegna al piano 0, tempo dall'avvio 258, Tue Feb  7 16:38:14 2017

[SCESO] Bambino al piano 0, tempo dall'avvio 258, Tue Feb  7 16:38:14 2017

[SALITO] Addetto alla consegna al piano 0, destinazione 3, tempo dall'avvio 258, Tue Feb  7 16:38:14 2017

[SCESO] Addetto alla consegna al piano 2, tempo dall'avvio 270, Tue Feb  7 16:38:26 2017

[SCESO] Adulto al piano 2, tempo dall'avvio 270, Tue Feb  7 16:38:26 2017

